,variable,avg,min,max,std
0,population,1383.6880572366,0.0,39961.0,781.65700096892
1,poverty_rate,9.55732213747899,0.0,138.86,12.0742276366189
2,pct_renter_occupied,33.7009823698089,0.0,100.0,25.1804742500602
3,median_gross_rent,777.83758748647,0.0,6600.0,471.367187467379
4,median_household_income,51966.1113744486,0.0,750003.0,32627.2290124455
5,median_property_value,192659.037998116,0.0,3458400.0,192467.721624059
6,rent_burden,27.7684744288238,0.0,251.8,13.9382796611826
7,pct_white,66.4764446007648,0.0,100.0,31.2967928318812
8,pct_af_am,12.6311810586974,0.0,100.0,22.7567101535713
9,pct_hispanic,13.6725119028994,0.0,100.0,21.0451905218224
10,pct_am_ind,0.734740019749617,0.0,100.0,4.52248996927111
11,pct_asian,3.86509135062076,0.0,100.0,8.45118158453072
12,pct_nh_pi,0.126598426422606,0.0,85.88,1.05073442052602
13,pct_multiple,1.80648467796879,0.0,100.0,2.72858669590612
14,pct_other,0.19537699865796,0.0,67.11,0.978966086056289
15,renter_occupied_households,183.981912181717,0.0,6236.0,182.693533064804
16,eviction_filings,12.5204196824016,0.0,5715.0,37.9805368269391
17,evictions,5.34519426144136,0.0,452.0,11.1405897158327
18,eviction_rate,3.39224883086258,0.0,600000.0,436.141583221024
19,eviction_filing_rate,8.29587790652506,0.0,2000000.0,1524.778827891
